student_id,first_name_clean,last_name_clean,school_id,cohort_year,test_date,test_score,running_variable,eligible,received_scholarship,award_date,enrolled_college,enrollment_date,first_year_gpa,rd_sample_10pt,rd_sample_5pt
100039,Daniel,Wilson,SCH002,2022,2023-05-23,74.9,-10.099999999999994,0,0,2021-07-09,0,2021-11-14,,0,0
100082,Sarah,Moore,SCH004,2021,2020-12-12,82.0,-3.0,0,0,2023-02-04,0,2024-03-09,,1,1
100086,Emily,Johnson,SCH005,2021,2022-07-09,78.6,-6.400000000000006,0,0,2023-02-11,1,2023-09-16,2.02,1,0
100088,Daniel,Smith,SCH001,2023,2022-04-09,67.5,-17.5,0,0,2021-12-31,0,2023-08-14,,0,0
100128,Emily,Taylor,SCH005,2021,2023-03-08,79.2,-5.799999999999997,0,0,2021-04-07,0,2022-09-28,,1,0
100168,Daniel,Wilson,SCH004,2021,2022-05-04,93.9,8.900000000000006,1,1,2021-04-03,1,2023-08-08,3.99,1,0
100175,Maria,Garcia,SCH005,2022,2021-06-30,59.8,-25.200000000000003,0,1,2022-05-17,0,2022-05-14,,0,0
100180,Chris,Miller,SCH004,2023,2022-08-19,82.9,-2.0999999999999943,0,0,2022-06-03,1,2023-05-17,2.82,1,1
100209,Sarah,Davis,SCH003,2022,2023-03-28,85.49938143829294,0.4993814382929429,1,0,2021-03-11,0,2023-01-28,,1,1
100220,Sarah,Smith,SCH002,2021,2022-12-07,70.8,-14.200000000000003,0,0,2021-09-19,0,2022-07-23,,0,0
100231,Michael,Miller,SCH004,2021,2021-06-28,100.0,15.0,1,1,2022-02-16,1,2022-08-20,2.22,0,0
100241,Ashley,Wilson,SCH005,2023,2020-11-07,84.4,-0.5999999999999943,0,0,2022-07-01,0,2022-01-20,,1,1
100306,James,Wilson,SCH003,2022,2022-09-28,75.6,-9.400000000000006,0,0,2023-01-04,1,2021-10-30,2.48,1,0
100364,Maria,Anderson,SCH005,2022,2022-03-27,60.5,-24.5,0,0,2021-03-17,0,2022-08-24,,0,0
100371,James,Davis,SCH002,2022,2020-12-15,75.9,-9.099999999999994,0,0,2021-03-26,0,2024-04-10,,1,0
