student_id,first_name,last_name,school_id,cohort_year
100001,James,Taylor,SCH003,2022
100002,David,Taylor,SCH003,2023
100003,David,moore  ,SCH005,2021
100004,Daniel,Wilson,SCH003,2021
100005,Taylor,Miller,SCH002,2022
100006,Sarah,Smith,SCH005,2021
100007,David,Davis,SCH002,2023
100008,Michael,Wilson,SCH003,2022
100009,Maria,Smith,SCH003,2023
100010,Daniel,Smith,SCH002,2023
100011,Taylor,Miller,SCH005,2022
100012,Chris,Taylor,SCH001,2022
100013,Michael,Garcia,SCH002,2022
100014,Chris,Taylor,SCH001,2022
100015,Taylor,Johnson,SCH003,2021
100016,Sarah,Garcia,SCH002,2021
100017,James,Davis,SCH003,2023
100018,Emily,Garcia,SCH004,2021
100019,Emily,Davis,SCH001,2023
100020,Taylor,Johnson,SCH005,2023
100021,Sarah,Miller,SCH004,2021
100022,David,Smith,SCH004,2023
100023,David,Miller,SCH005,2022
100024,Sarah,Davis,SCH004,2021
100025,Ashley,Brown,SCH005,2023
100026,Sarah,Brown,SCH001,2023
100027,Emily,Wilson,SCH003,2021
100028,Emily,Moore,SCH004,2023
100029,Chris,Davis,SCH001,2021
100030,Ashley,Smith,SCH002,2021
100031,Maria,Smith,SCH003,2021
100032,  DAVID ,Davis,SCH002,2023
100033,Ashley,Moore,SCH001,2022
100034,Taylor,Taylor,SCH002,2022
100035,Sarah,Smith,SCH005,2021
100036,Daniel,Johnson,SCH001,2021
100037,Ashley,Johnson,SCH002,2023
100038,Maria,Johnson,SCH004,2022
100039,Daniel,Wilson,SCH002,2022
100040,James,Taylor,SCH001,2022
100041,David,Garcia,SCH002,2021
100042,James,Garcia,SCH004,2022
100043,Chris,Miller,SCH003,2023
100044,Daniel,Garcia,SCH003,2023
100045,Ashley,Taylor,SCH002,2022
100046,James,Wilson,SCH004,2023
100047,Chris,Smith,SCH004,2022
100048,Chris,Garcia,SCH003,2022
100049,Daniel,Brown,SCH001,2021
100050,Taylor,Miller,SCH005,2023
100051,David,Anderson,SCH002,2021
100052,David,Smith,SCH004,2021
100053,James,Moore,SCH005,2022
100054,Ashley,Brown,SCH003,2022
100055,David,Johnson,SCH004,2021
100056,Ashley,Brown,SCH002,2023
100057,David,Wilson,SCH003,2022
100058,Sarah,Moore,SCH003,2023
100059,James,Brown,SCH005,2021
100060,Chris,Garcia,SCH003,2022
100061,David,Wilson,SCH004,2021
100062,Maria,garcia  ,SCH004,2022
100063,James,Garcia,SCH004,2021
100064,  DANIEL ,Moore,SCH004,2022
100065,Chris,Anderson,SCH004,2023
100066,James,Wilson,SCH002,2021
100067,Chris,Miller,SCH003,2023
100068,Sarah,Wilson,SCH003,2023
100069,Maria,Garcia,SCH002,2022
100070,James,Smith,SCH005,2022
100071,James,Wilson,SCH004,2022
100072,Taylor,Brown,SCH003,2022
100073,James,Moore,SCH002,2023
100074,Sarah,Taylor,SCH003,2022
100075,Michael,Brown,SCH002,2023
100076,Ashley,Garcia,SCH002,2023
100077,Daniel,Anderson,SCH005,2023
100078,Sarah,Miller,SCH003,2021
100079,Michael,Anderson,SCH001,2022
100080,Maria,Johnson,SCH002,2022
100081,Taylor,Wilson,SCH003,2021
100082,Sarah,Moore,SCH004,2021
100083,Sarah,Smith,SCH002,2021
100084,Chris,Wilson,SCH001,2023
100085,Sarah,Johnson,SCH001,2022
100086,  EMILY ,Johnson,SCH005,2021
100087,Ashley,Garcia,SCH004,2022
100088,Daniel,Smith,SCH001,2023
100089,Taylor,Wilson,SCH003,2023
100090,Taylor,Moore,SCH001,2021
100091,Maria,Wilson,SCH002,2023
100092,Sarah,Miller,SCH004,2021
100093,Ashley,Moore,SCH005,2022
100094,James,Smith,SCH001,2023
100095,Chris,Garcia,SCH003,2023
100096,Maria,Davis,SCH004,2099
100097,Michael,Johnson,SCH005,2022
100098,Taylor,Smith,SCH005,2021
100099,Taylor,Davis,SCH003,2022
100100,Emily,Moore,SCH002,2023
100101,James,Taylor,,2023
100102,Maria,Davis,SCH002,2023
100103,Michael,Brown,SCH003,2021
100104,James,Davis,SCH003,2023
100105,James,Smith,SCH002,2021
100106,Emily,Taylor,SCH002,2022
100107,Sarah,Johnson,SCH004,2021
100108,Sarah,Wilson,SCH003,2021
100109,Emily,Johnson,SCH005,2022
100110,Daniel,Smith,SCH001,2021
100111,Maria,Garcia,SCH002,2022
100112,Sarah,Johnson,SCH001,2022
100113,Ashley,Miller,SCH001,2022
100114,Maria,Taylor,SCH001,2022
100115,Daniel,Johnson,SCH003,2022
100116,James,Miller,SCH005,2022
100117,David,Taylor,SCH004,2021
100118,Maria,Taylor,SCH005,2022
100119,David,Taylor,SCH004,2023
100120,Ashley,Brown,SCH002,2023
100121,Emily,Miller,SCH005,2022
100122,Ashley,Miller,SCH002,2022
100123,Michael,Garcia,SCH003,2023
100124,James,Brown,SCH003,2023
100125,Taylor,miller  ,SCH002,2023
100126,Sarah,Miller,SCH002,2022
100127,Michael,Johnson,SCH001,2022
100128,Emily,Taylor,SCH005,2021
100129,David,Smith,SCH002,2022
100130,David,Brown,SCH005,2022
100131,James,Taylor,SCH004,2021
100132,Taylor,Anderson,SCH005,2023
100133,Daniel,Taylor,SCH003,2023
100134,Ashley,Davis,SCH001,2023
100135,Chris,Garcia,SCH002,2023
100136,Daniel,Brown,SCH002,2023
100137,Michael,Garcia,SCH004,2022
100138,Chris,Garcia,SCH002,2021
100139,Ashley,Anderson,SCH002,2021
100140,David,Taylor,SCH005,2022
100141,  SARAH ,Moore,SCH005,2022
100142,Ashley,Taylor,SCH002,2021
100143,David,Davis,SCH003,2022
100144,  EMILY ,Johnson,SCH005,2023
100145,Ashley,anderson  ,SCH002,2021
100146,Chris,Moore,SCH001,2022
100147,David,Johnson,SCH003,2023
100148,David,Davis,SCH005,2021
100149,Emily,Smith,SCH004,2023
100150,James,Brown,SCH003,2023
100151,Michael,Wilson,SCH003,2021
100152,Chris,brown  ,SCH004,2023
100153,Michael,Brown,SCH004,2023
100154,Daniel,Wilson,SCH002,2021
100155,Maria,Johnson,SCH001,2021
100156,David,Smith,SCH001,2022
100157,Maria,Smith,SCH002,2021
100158,David,Garcia,SCH003,2023
100159,Sarah,smith  ,SCH003,2022
100160,Emily,Davis,SCH003,2021
100161,Taylor,Smith,SCH005,2021
100162,Michael,Miller,SCH003,2023
100163,James,Wilson,SCH005,2021
100164,James,Smith,SCH001,2023
100165,Daniel,Brown,SCH004,2022
100166,Sarah,Brown,SCH002,2022
100167,Sarah,Davis,,2022
100168,Daniel,Wilson,SCH004,2021
100169,James,Taylor,,2023
100170,Ashley,Johnson,SCH005,2021
100171,Sarah,Davis,SCH002,2021
100172,Sarah,Johnson,SCH001,2023
100173,David,Garcia,SCH001,2021
100174,Ashley,Taylor,SCH004,2022
100175,Maria,Garcia,SCH005,2022
100176,Ashley,Taylor,SCH001,2022
100177,Ashley,Johnson,SCH005,2022
100178,Taylor,Brown,SCH004,2023
100179,Daniel,Smith,SCH001,2021
100180,Chris,Miller,SCH004,2023
100181,Daniel,Brown,SCH001,2021
100182,Emily,Anderson,SCH004,2021
100183,Ashley,Miller,SCH002,2023
100184,Maria,Brown,SCH005,2022
100185,Ashley,Anderson,SCH002,2021
100186,James,Smith,SCH002,2021
100187,James,Wilson,SCH001,2023
100188,Michael,Smith,SCH001,2022
100189,Chris,Brown,SCH005,2023
100190,David,Brown,SCH001,2021
100191,Michael,Wilson,SCH002,2023
100192,Maria,Miller,SCH005,2022
100193,Maria,Wilson,SCH002,2021
100194,Emily,Moore,SCH004,2021
100195,Chris,Taylor,,2023
100196,Daniel,Johnson,SCH005,2021
100197,  JAMES ,Anderson,SCH001,2021
100198,James,Moore,SCH004,2021
100199,Daniel,Anderson,SCH004,2021
100200,James,Davis,SCH003,2021
100201,Chris,Brown,SCH003,2023
100202,Michael,Garcia,SCH002,2022
100203,Maria,Taylor,SCH005,2021
100204,Taylor,Garcia,SCH002,2022
100205,  SARAH ,Wilson,SCH002,2022
100206,Chris,Taylor,SCH002,2023
100207,David,Wilson,SCH002,2022
100208,Maria,Taylor,SCH001,2021
100209,Sarah,Davis,SCH003,2022
100210,Chris,Taylor,SCH003,2021
100211,Michael,Smith,SCH004,2023
100212,  DAVID ,Anderson,SCH003,2022
100213,Maria,Wilson,SCH005,2022
100214,Sarah,Miller,,2022
100215,Michael,Taylor,SCH004,2023
100216,Emily,Taylor,SCH001,2021
100217,Taylor,Garcia,SCH002,2022
100218,David,Johnson,SCH004,2022
100219,Taylor,Taylor,SCH002,2021
100220,Sarah,Smith,SCH002,2021
100221,  CHRIS ,Smith,SCH004,2023
100222,David,Anderson,SCH002,2022
100223,Taylor,Brown,SCH005,2021
100224,Emily,Garcia,SCH005,2022
100225,Taylor,Anderson,SCH002,2021
100226,Michael,Wilson,SCH005,2022
100227,Emily,Moore,SCH005,2021
100228,Michael,Moore,SCH003,2021
100229,Chris,Wilson,SCH005,2022
100230,Daniel,Miller,SCH005,2021
100231,Michael,Miller,SCH004,2021
100232,Sarah,Davis,SCH003,2023
100233,Maria,Smith,SCH001,2022
100234,Maria,Taylor,SCH002,2021
100235,James,johnson  ,SCH005,2022
100236,Daniel,Wilson,SCH001,2022
100237,Daniel,Johnson,SCH004,2021
100238,Maria,Smith,SCH003,2023
100239,Emily,Taylor,SCH004,2023
100240,James,Garcia,SCH002,2021
100241,Ashley,Wilson,SCH005,2023
100242,Emily,Davis,SCH003,2023
100243,Maria,Wilson,SCH001,2023
100244,Sarah,Taylor,SCH001,2023
100245,Taylor,Davis,SCH002,2021
100246,Sarah,Garcia,SCH005,2022
100247,Sarah,Miller,SCH001,2023
100248,Emily,Brown,SCH001,2021
100249,  DANIEL ,Anderson,SCH001,2021
100250,Ashley,Anderson,SCH004,2023
100251,James,Taylor,SCH001,2023
100252,Maria,Garcia,SCH002,2023
100253,Daniel,Brown,SCH003,2021
100254,  MARIA ,Smith,SCH001,2022
100255,Taylor,Smith,SCH002,2022
100256,Sarah,Anderson,SCH005,2022
100257,Taylor,Brown,SCH002,2021
100258,Maria,Garcia,SCH003,2021
100259,James,Davis,SCH001,2023
100260,David,Brown,SCH004,2021
100261,Maria,Smith,SCH001,2023
100262,James,Moore,SCH001,2021
100263,Michael,Moore,SCH002,2022
100264,David,Anderson,SCH005,2022
100265,Sarah,Miller,SCH005,2023
100266,Michael,Smith,,2023
100267,Sarah,Miller,SCH005,2021
100268,  MICHAEL ,Wilson,SCH005,2023
100269,Sarah,Davis,SCH003,2021
100270,David,Taylor,SCH002,2022
